Id,Caring,Confident,Emotionally stable,Intelligent,Responsible,Sociable,Trustworthy
269,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72998,0.0,1.0,0.0,0.0,0.0,0.0,0.0
74783,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30823,0.0,1.0,0.0,0.0,0.0,0.0,0.0
08848,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25918,0.0,1.0,0.0,0.0,1.0,0.0,0.0
49381,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21983,0.0,0.0,0.0,1.0,0.0,0.0,0.0
02420,0.0,1.0,1.0,0.0,0.0,0.0,0.0
31810,0.0,1.0,0.0,0.0,1.0,0.0,0.0
29635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70922,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34836,1.0,0.0,0.0,1.0,0.0,0.0,0.0
27911,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59988,1.0,1.0,0.0,0.0,0.0,0.0,0.0
61732,0.0,1.0,0.0,1.0,0.0,0.0,0.0
16814,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32709,0.0,0.0,0.0,1.0,0.0,0.0,0.0
03196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03994,0.0,1.0,0.0,0.0,0.0,0.0,0.0
06458,0.0,0.0,0.0,0.0,0.0,1.0,0.0
82126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83950,0.0,1.0,0.0,0.0,0.0,0.0,0.0
49730,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4322,0.0,0.0,0.0,1.0,0.0,0.0,0.0
05652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19980,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25410,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3001,0.0,1.0,0.0,0.0,0.0,0.0,0.0
07236,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34742,0.0,0.0,0.0,1.0,0.0,0.0,0.0
93465,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52866,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11750,0.0,0.0,0.0,1.0,0.0,0.0,0.0
54042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22135,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17323,0.0,1.0,0.0,0.0,0.0,0.0,0.0
50294,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92358,0.0,0.0,1.0,0.0,0.0,0.0,0.0
96274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51917,0.0,1.0,0.0,0.0,0.0,1.0,0.0
57109,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32228,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63926,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11841,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48560,0.0,0.0,0.0,1.0,0.0,0.0,0.0
55716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72589,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83451,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35209,0.0,0.0,1.0,0.0,0.0,0.0,0.0
86811,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16607,0.0,1.0,0.0,1.0,0.0,0.0,0.0
04531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25431,1.0,1.0,0.0,0.0,0.0,0.0,0.0
63925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50056,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3944,0.0,0.0,0.0,0.0,1.0,0.0,0.0
66274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66093,0.0,1.0,0.0,0.0,0.0,0.0,0.0
99928,0.0,0.0,0.0,1.0,0.0,1.0,0.0
75089,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68437,0.0,0.0,0.0,1.0,0.0,0.0,0.0
80762,0.0,0.0,0.0,0.0,0.0,1.0,0.0
78789,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25390,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07531,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34701,0.0,1.0,0.0,1.0,1.0,0.0,0.0
54464,0.0,1.0,0.0,0.0,0.0,0.0,0.0
00270,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37330,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40261,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22391,1.0,0.0,0.0,0.0,0.0,1.0,0.0
29219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85955,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
69866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1202,0.0,1.0,0.0,0.0,0.0,0.0,0.0
