,id,names,path,gender,face_score
243534,243534,Joe Thomas,04/nm3022504_rm2354875136_1983-10-28_2008.jpg,1.0,7.34236216620519
274825,274825,Bobby Cannavale,72/nm0134072_rm1979095808_1970-5-3_2007.jpg,1.0,7.169728605253864
405301,405301,Kevin G. Schmidt,56/nm0773056_rm211794688_1988-8-16_2010.jpg,1.0,7.007399617726379
325918,325918,Jordan Gavaris,98/nm2849998_rm211794688_1989-9-25_2010.jpg,1.0,7.007399617726379
99127,99127,James Duval,66/nm0001166_rm4107245568_1972-9-10_2004.jpg,1.0,7.0073697185133765
311841,311841,Joshua Safdie,94/nm1343394_rm1962657536_1984-4-3_2014.jpg,1.0,6.987910436339157
186725,186725,Paul Dano,52/nm0200452_rm1971301120_1984-6-19_2012.jpg,1.0,6.955947993769183
453092,453092,Justin Bieber,01/nm3595501_rm2122444800_1994-3-1_2015.jpg,1.0,6.903148962117493
304487,304487,Michael Cera,18/nm0148418_rm1575540736_1988-6-7_2013.jpg,1.0,6.899077251585129
305550,305550,Teddy Sears,43/nm1146243_rm695662336_1977-4-6_2013.jpg,1.0,6.889821993113811
292605,292605,Seth Rogen,22/nm0736622_rm3557214464_1982-4-15_2014.jpg,1.0,6.889342011250779
13583,13583,Leonardo DiCaprio,38/nm0000138_rm3183184384_1974-11-11_2008.jpg,1.0,6.876251850038242
218195,218195,Jay Ryan,08/nm1216008_rm1429187840_1981-8-29_2013.jpg,1.0,6.857976665526314
378123,378123,Ryan Cabrera,66/nm1663466_rm1240308480_1982-7-18_1999.jpg,1.0,6.828371947273816
402054,402054,Jamie Campbell Bower,29/nm2570429_rm2117646848_1988-11-22_2011.jpg,1.0,6.814607691867438
284996,284996,Jim Parsons,88/nm1433588_rm1093991424_1973-3-24_2015.jpg,1.0,6.813644318863332
395910,395910,Chris Carmack,01/nm1377001_rm2311958528_1980-12-22_2011.jpg,1.0,6.780331762500741
444832,444832,Ellar Coltrane,64/nm1294664_rm2098000384_1994-8-27_2015.jpg,1.0,6.7681322236672194
300040,300040,Boyd Holbrook,42/nm2933542_rm2869620992_1981-9-1_2014.jpg,1.0,6.759592877292656
338374,338374,Jake Gyllenhaal,53/nm0350453_rm2362415104_1980-12-19_2006.jpg,1.0,6.758936727127129
62472,62472,Richard Linklater,00/nm0000500_rm1712058880_1960-7-30_2015.jpg,1.0,6.750540904277576
444827,444827,Ellar Coltrane,64/nm1294664_rm1712058880_1994-8-27_2015.jpg,1.0,6.750540904277576
421819,421819,Emile Hirsch,72/nm0386472_rm3346434048_1985-3-13_2009.jpg,1.0,6.740815855729531
420700,420700,Freddie Highmore,03/nm0383603_rm1131257856_1992-2-14_2013.jpg,1.0,6.734530295108038
168437,168437,Jeremy Piven,15/nm0005315_rm3566705408_1965-7-26_2008.jpg,1.0,6.733088281555786
114623,114623,Ralph Macchio,94/nm0001494_rm3909714432_1961-11-4_2010.jpg,1.0,6.733014212372572
193414,193414,Armie Hammer,17/nm2309517_rm4217670400_1986-8-28_2007.jpg,1.0,6.72900415149395
391566,391566,Nathan Fillion,13/nm0277213_rm288337152_1971-3-27_2009.jpg,1.0,6.724368079992191
404303,404303,Andy Samberg,21/nm1676221_rm789246464_1978-8-18_2015.jpg,1.0,6.720450447645789
232384,232384,Jeremy Renner,37/nm0719637_rm2622270720_1971-1-7_2013.jpg,1.0,6.717259438075349
290820,290820,Asa Butterfield,35/nm2633535_rm1023859200_1997-4-1_2013.jpg,1.0,6.708909021363925
439010,439010,Cheyenne Jackson,45/nm2091145_rm3494219264_1975-7-12_2009.jpg,1.0,6.7011828133774465
242826,242826,John Krasinski,77/nm1024677_rm1571199744_1979-10-20_2007.jpg,1.0,6.692950839583749
290882,290882,Asa Butterfield,35/nm2633535_rm3772643840_1997-4-1_2014.jpg,1.0,6.69083842916344
413971,413971,Max Carver,71/nm3083571_rm3384659200_1988-8-1_2014.jpg,1.0,6.675488729663005
413948,413948,Charlie Carver,50/nm3083350_rm3384659200_1988-7-31_2014.jpg,1.0,6.675488729663005
259426,259426,Josh Lucas,97/nm0524197_rm261790464_1971-6-20_1999.jpg,1.0,6.670219475942733
265702,265702,Lucas Grabeel,17/nm1727317_rm586192128_1984-11-23_2008.jpg,1.0,6.667846432666416
422135,422135,Tyler Hoechlin,82/nm0388382_rm588225024_1987-9-11_2002.jpg,1.0,6.638178551277214
